,lat,lon,stop,bike station,pharmacy,aed,attraction,theatre,tree,bush,forest,police station,hotel,dorm,cost
134,52.2181572,20.9645649,8,0,0,0,0,0,0,0,0,0,0,0,24900.0
135,52.2795973,20.9511669,4,0,2,0,0,0,0,0,0,0,0,0,15795.45
136,52.187034,20.9927235,10,0,0,0,0,0,0,0,0,0,0,0,23786.79
137,52.2753601,20.9384748,8,0,2,0,0,0,0,0,0,0,0,0,18345.59
138,52.2608948,20.9971568,4,0,1,0,0,0,0,0,0,0,0,0,18956.25
139,52.1554011,21.0842233,0,0,0,0,0,0,0,0,0,0,0,0,19452.05
140,52.2648093,21.0419466,5,0,0,0,0,0,0,0,0,0,0,0,20580.0
141,52.2403314,20.9298652,3,0,1,0,0,0,0,0,0,0,0,0,13661.31
142,52.2357403,20.9963846,8,0,2,0,0,0,0,0,0,0,2,0,35199.51
143,52.1585305,21.0834652,6,0,0,0,0,0,0,0,0,0,0,0,21162.28
144,52.2674508,20.9843989,15,0,2,0,0,0,0,0,0,0,1,0,18841.06
145,52.2540248,21.0091437,2,0,0,0,0,2,0,0,0,0,1,0,21986.08
146,52.2226908,21.06873,4,0,1,0,0,0,0,0,0,0,0,0,19736.84
147,52.2408234,21.09232,0,0,1,0,0,0,0,0,0,0,0,0,19321.23
148,52.1870684,21.0205242,12,0,1,0,0,0,0,0,0,0,0,0,17659.23
149,52.1870684,21.0205242,12,0,1,0,0,0,0,0,0,0,0,0,19151.43
150,52.1870684,21.0205242,12,0,1,0,0,0,0,0,0,0,0,0,19186.05
151,52.1870684,21.0205242,12,0,1,0,0,0,0,0,0,0,0,0,18260.1
152,52.2968358,21.024844,10,0,0,0,0,0,0,0,0,0,0,0,12394.96
153,52.244423,20.9659202,10,0,0,0,0,0,0,0,0,0,0,0,14480.41
154,52.19318595,20.8877910203,6,0,0,0,0,0,0,0,0,0,0,0,12083.33
155,52.19318595,20.8877910203,6,0,0,0,0,0,0,0,0,0,0,0,12558.52
156,52.2645204,21.1747781,1,0,0,0,0,0,0,0,0,0,0,0,9765.34
157,52.1959664,20.8620907,4,0,0,0,0,0,0,0,0,0,0,0,15915.46
158,52.3070569,20.9810059,3,0,1,0,0,0,0,0,0,0,0,0,11807.99
159,52.1727627,21.0263943,6,0,1,0,0,0,0,0,0,0,0,0,17064.52
160,52.1877216,20.8934478,3,0,2,0,0,0,0,0,0,0,0,0,15800.0
161,52.3518057,21.0387921,2,0,0,0,0,0,0,0,0,0,0,0,11900.0
162,52.1670822,21.0082628,0,0,0,0,0,0,0,0,0,0,0,0,17879.98
163,52.3190743,20.9993838,6,0,0,0,0,0,0,0,0,0,0,0,16129.65
164,52.3107518,21.0728133,0,0,0,0,0,0,0,0,0,0,0,0,13000.0
165,52.20087655,21.0411589745,3,0,0,0,0,0,0,0,0,0,0,0,16858.18
166,52.1670822,21.0082628,0,0,0,0,0,0,0,0,0,0,0,0,19025.74
167,52.2521311,20.9136538,7,0,0,0,0,0,0,0,0,0,0,0,16900.0
168,52.2490844,21.0413835,11,0,2,0,0,0,0,0,0,0,1,0,20900.0
169,52.3170606,21.0506044,4,0,1,0,0,0,0,0,0,0,0,0,11600.0
170,52.2069304,21.0375307,4,0,1,0,0,0,0,0,0,0,0,1,28000.0
171,52.1503911,21.0470229,8,0,2,0,0,0,0,0,0,0,0,0,27700.0
172,52.1850257,21.025055,5,0,0,0,0,0,0,0,0,0,0,0,20000.0
173,52.2772466,21.0141644,4,0,0,0,0,0,0,18,0,0,0,0,15500.0
174,52.3480524,21.0288682,2,0,0,0,0,0,0,0,0,0,0,0,10643.87
175,52.20185,21.0460256,8,0,2,0,0,0,0,0,0,0,1,0,22550.0
176,52.2046714,21.0745577,3,0,0,0,0,0,0,0,0,0,0,0,17188.89
177,52.2074043,21.1496596,0,0,0,0,0,0,0,0,0,0,0,0,11938.72
178,52.2255943,20.98047,1,0,0,0,0,0,0,0,0,0,0,0,28000.0
179,52.118611,21.10314,4,0,0,0,0,0,0,0,0,0,0,0,17140.0
180,52.199171,21.0193112,2,0,0,0,0,0,0,0,0,0,1,0,15973.33
181,52.1983922,21.1280835,0,0,0,0,0,0,0,0,0,0,0,0,13919.11
182,52.3148453,21.0602302,5,0,0,0,0,0,0,0,0,0,0,0,15714.29
183,52.2675888,20.9849297,15,0,2,0,0,0,0,0,0,0,1,0,19367.09
184,52.19318595,20.8877910203,6,0,0,0,0,0,0,0,0,0,0,0,14987.5
185,52.2001658,21.147169,2,0,1,0,0,0,0,0,0,0,0,0,14916.57
186,52.2552249,21.0033295,4,0,0,0,0,0,0,0,0,0,0,0,37731.39
187,52.190265,20.9005598,4,0,1,0,0,0,0,0,0,0,0,0,15989.99
188,52.3371069,20.9372881,2,0,0,0,0,0,0,0,0,0,0,0,13864.98
189,52.3197726,21.0567454622,3,0,0,0,0,0,0,0,0,0,0,0,13900.0
190,52.2424394,20.922736,1,0,0,0,0,0,0,0,0,0,0,0,15517.24
191,52.19857455,20.8704221932,4,0,0,0,0,0,0,0,0,0,0,0,13493.86
192,52.1422579,21.0661433,3,0,2,0,0,0,0,0,0,0,0,0,15665.32
193,52.1707003,21.1094762,2,0,0,0,0,0,0,0,0,0,0,0,19500.0
194,52.299605,21.0120593,2,0,0,0,0,0,0,0,0,0,0,0,14904.35
195,52.1830596,21.0451922,2,0,0,0,0,0,0,0,0,0,0,0,19304.18
196,52.2357403,20.9963846,8,0,2,0,0,0,0,0,0,0,2,0,32790.75
197,52.2271556,21.0184398,3,0,1,0,0,0,0,0,0,0,2,0,74152.54
198,52.2018767,20.9955827,0,0,1,0,0,0,0,0,0,0,1,1,22675.74
199,52.2046714,21.0745577,3,0,0,0,0,0,0,0,0,0,0,0,19855.95
200,52.2516857,21.0350909,11,0,4,0,0,1,0,0,0,0,4,1,15967.74
201,52.3304003,21.0338501,2,0,0,0,0,0,0,0,0,0,1,0,11000.0
